u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5,u6,v6,u7,v7
78.0,23.0,30.5,23.0,32.0,47.0,55.0,47.5,78.0,48.0,33.0,70.0,76.0,70.0,55.0,24.0
77.5,23.0,30.0,23.0,31.0,47.0,54.5,48.0,77.0,48.0,33.0,71.0,75.5,71.0,54.0,24.0
77.0,24.0,29.0,23.5,30.0,48.0,54.0,48.0,76.5,48.5,32.0,71.0,75.0,71.0,54.0,25.0
76.0,24.0,28.0,24.0,30.0,48.0,53.0,49.0,76.0,49.0,31.5,71.0,74.0,71.0,53.0,74.0
75.5,24.5,28.0,24.0,29.0,49.0,52.0,49.0,75.0,49.0,31.0,71.0,73.5,71.0,52.5,25.0
75.0,25.0,27.0,25.0,28.0,48.5,52.0,49.0,75.0,49.5,30.0,71.0,73.0,72.0,52.0,26.0
74.0,25.5,26.0,25.0,27.5,49.0,51.0,49.0,74.0,49.5,29.5,71.0,72.5,72.0,51.0,27.5
73.5,26.5,26.0,26.0,27.0,49.0,51.0,50.0,73.0,50.0,28.5,72.0,72.0,72.0,50.0,28.0
73.0,27.0,25.0,27.0,26.0,50.0,50.0,50.5,73.0,51.0,28.5,72.0,71.5,73.0,50.0,27.0
72.0,27.0,24.0,27.0,25.5,50.5,49.5,51.0,72.0,51.0,27.5,72.5,71.0,73.0,50.0,28.0
72.0,27.0,24.0,27.0,25.5,50.5,49.0,51.0,71.5,51.0,27.0,73.0,70.0,73.0,49.0,28.0
71.0,28.0,23.0,27.0,25.0,51.0,48.5,51.5,71.0,51.5,26.0,73.0,70.0,73.0,48.0,29.0
70.0,29.0,23.0,28.0,24.0,51.0,48.0,52.0,71.0,52.0,26.0,73.0,69.5,74.5,48.0,29.0
70.0,29.0,22.0,28.0,23.0,51.0,48.0,52.0,70.0,52.0,25.5,74.0,69.0,75.0,47.0,29.0
69.5,29.0,22.0,29.0,23.0,52.0,47.5,52.5,69.5,52.5,26.0,74.0,68.0,75.0,46.0,29.0
69.0,30.0,21.0,29.0,23.0,52.0,47.0,53.0,69.0,53.0,23.5,74.5,68.0,76.0,46.0,30.0
68.0,30.0,21.0,30.0,22.0,53.0,46.0,54.0,68.5,53.5,23.0,75.0,67.5,76.5,46.0,31.0
68.0,31.0,20.0,30.0,21.0,53.0,46.0,54.0,68.0,54.0,23.0,76.0,67.5,76.5,45.0,31.0
68.0,31.0,20.0,31.0,21.0,54.0,45.5,54.5,67.5,54.5,23.0,76.0,66.0,77.0,45.0,32.0
68.0,32.0,20.0,31.0,21.0,55.0,45.0,55.0,67.5,54.5,22.0,77.0,66.0,77.0,45.0,32.0
67.5,32.5,20.0,33.0,21.0,55.0,44.5,55.0,67.0,55.5,22.0,77.0,66.0,78.0,44.0,33.0
67.0,33.0,20.0,33.0,20.0,55.5,44.0,56.0,67.0,56.0,21.0,78.0,65.5,78.5,44.0,33.0
66.0,33.5,19.0,33.0,19.5,56.5,44.0,57.0,66.5,56.5,21.0,78.0,65.0,79.0,43.0,34.0
66.0,35.0,18.0,34.0,19.5,56.5,44.0,57.0,66.0,57.0,21.0,79.0,65.0,80.0,43.5,35.0
