u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5
38.0,48.0,81.0,58.0,64.0,49.0,61.5,90.0,105.0,92.0,17.5,82.0
40.0,51.5,82.0,61.0,64.5,52.0,62.0,93.0,106.5,94.5,19.0,85.0
42.0,54.0,84.0,64.0,66.0,55.0,64.5,96.5,108.5,98.5,21.0,88.0
43.0,57.0,86.0,66.0,68.0,58.0,66.0,99.0,110.5,101.5,23.5,90.5
46.0,59.0,88.0,68.0,70.0,60.0,68.5,101.5,114.0,104.0,26.0,92.0
48.0,60.0,90.5,69.5,72.0,61.0,70.5,102.0,116.5,105.5,28.5,93.5
50.0,60.0,92.5,69.5,53.5,93.5,72.5,102.5,119.0,106.0,30.5,93.5
52.0,60.0,94.0,69.5,76.0,62.0,74.5,102.5,121.5,106.5,32.5,93.5
53.0,59.5,95.0,69.0,77.0,61.0,76.0,101.0,123.0,105.5,34.0,93.0
54.0,59.0,96.0,68.0,55.5,92.5,76.0,101.0,123.0,105.0,34.0,92.0
54.0,57.0,96.0,66.0,55.5,91.5,76.0,99.0,123.5,102.5,34.0,90.0
52.0,55.0,95.0,64.0,77.0,56.0,75.0,97.0,122.0,100.0,33.0,87.5
50.5,52.0,93.0,61.5,76.0,53.5,73.0,94.0,120.0,97.0,31.0,85.0
48.0,50.0,90.5,59.0,73.5,51.0,70.5,91.5,116.0,94.0,28.0,83.0
44.5,48.0,87.0,57.0,70.0,49.0,68.0,89.0,112.0,91.0,25.0,81.0
41.0,46.0,83.0,55.0,66.0,47.0,64.0,87.0,107.0,89.0,20.0,79.0
37.0,44.0,79.5,53.5,63.0,44.5,60.0,86.0,104.0,87.0,16.0,77.0
32.5,42.5,75.0,52.5,59.0,44.0,56.0,85.0,99.0,86.0,11.0,76.0
29.0,43.0,72.0,52.0,56.0,43.0,52.0,85.0,95.0,85.0,7.0,76.0
25.5,42.5,69.0,53.0,53.0,43.0,50.0,85.0,93.0,85.0,4.0,76.0
24.0,43.0,67.0,53.0,50.5,43.5,49.0,85.0,90.5,85.0,1.0,77.0
23.0,44.0,66.0,54.0,50.0,44.0,47.0,86.0,90.0,86.0,1.0,77.5
23.0,44.0,66.5,54.0,51.0,45.0,47.0,86.0,90.0,87.0,0.5,78.5
24.5,45.0,69.0,55.0,52.0,46.0,49.0,87.0,92.0,88.0,2.0,79.0
27.5,45.5,71.0,55.0,54.0,45.0,51.0,87.0,94.0,88.0,5.0,79.0
30.5,45.0,73.0,54.0,56.0,46.0,54.0,87.0,97.0,88.0,9.0,78.5
34.0,45.0,77.0,54.0,60.0,46.0,57.0,86.0,101.0,87.5,13.0,78.0
38.5,43.5,81.0,53.0,65.0,44.0,62.0,85.0,105.5,86.5,18.0,77.0
42.0,42.0,84.5,51.0,69.0,42.0,65.0,84.0,110.0,85.0,21.5,74.5
46.0,39.0,88.5,49.0,73.0,40.0,69.5,81.5,113.5,82.5,26.0,72.0
49.5,36.5,91.5,46.5,76.0,38.0,71.5,78.5,117.5,80.5,29.0,70.0
51.5,34.5,94.0,43.0,78.0,35.5,74.0,76.0,120.0,77.0,31.5,66.5
53.0,31.5,95.0,40.0,80.0,33.0,75.0,74.0,121.5,74.5,33.0,64.0
53.0,29.0,96.0,39.0,80.5,30.5,76.0,72.0,123.0,72.0,33.5,62.5
53.0,28.5,96.0,37.0,80.5,29.0,75.5,71.0,122.0,71.0,34.0,62.0
52.0,28.0,95.0,37.0,79.0,29.0,75.0,71.0,121.0,70.5,32.0,61.0
49.5,28.5,92.5,38.0,77.0,29.0,73.5,71.0,118.5,71.0,30.0,62.0
46.5,30.0,90.0,39.0,73.0,31.0,69.5,72.5,115.5,72.5,27.5,62.5
43.5,32.5,86.0,42.0,71.0,33.0,67.0,75.0,112.0,76.0,24.0,66.0
41.0,36.0,83.0,46.0,67.0,37.0,64.0,78.0,108.0,79.0,21.0,69.0
38.0,40.0,81.0,50.0,64.5,41.0,62.0,82.0,106.0,83.5,17.5,73.5
36.5,45.0,78.5,54.0,62.0,46.0,59.0,87.0,103.5,87.5,15.0,78.0
35.0,49.0,77.5,58.5,60.0,50.0,58.0,91.0,101.0,92.0,13.0,83.0
34.0,53.0,76.5,62.5,33.0,125.0,57.0,95.0,100.0,96.0,12.5,87.0
