u0,v0
97.0,107.0
97.0,108.0
98.0,108.0
99.0,109.0
99.5,109.0
100.0,109.0
100.0,109.0
101.0,109.0
102.0,109.0
103.0,108.0
103.5,108.0
104.0,107.0
105.0,106.0
106.0,105.0
107.0,103.0
108.0,102.0
109.0,100.5
110.0,98.0
111.0,97.0
113.0,94.0
114.0,92.0
115.0,90.0
117.0,87.0
118.0,84.0
120.0,81.0
121.0,78.0
123.0,75.0
123.0,72.0
124.0,68.0
125.0,64.0
126.0,61.0
126.5,56.5
126.0,53.0
15.0,126.0
15.0,126.0
37.0,120.0
37.0,120.0
37.0,120.0
37.0,120.0
37.0,120.0
37.0,120.0
37.0,120.0
37.0,120.0
37.0,120.0
15.0,126.0
15.0,126.0
15.0,126.0
NaN,NaN
NaN,NaN
37.0,120.0
37.0,120.0
37.0,120.0
37.0,120.0
15.0,126.0
15.0,126.0
15.0,126.0
NaN,NaN
NaN,NaN
NaN,NaN
15.0,126.0
15.0,126.0
15.0,126.0
15.0,126.0
15.0,126.0
15.0,126.0
15.0,126.0
15.0,126.0
15.0,126.0
