u0,v0,u1,v1,u2,v2,u3,v3,u4,v4
54.0,63.0,76.0,63.0,99.5,63.5,76.0,85.0,76.0,41.0
54.0,63.0,76.0,63.0,99.0,63.0,76.0,85.0,76.0,42.0
53.5,63.5,76.0,63.0,99.0,63.0,76.0,85.0,75.0,42.0
53.5,63.5,75.5,63.5,99.0,63.0,76.0,85.0,75.0,42.0
53.5,63.5,75.0,63.0,98.0,63.0,75.5,85.5,75.0,42.0
53.5,63.5,75.0,63.0,98.0,63.0,75.0,86.0,75.0,42.0
52.0,63.0,75.0,63.0,97.5,63.5,75.0,86.0,75.0,42.0
52.0,63.0,74.0,63.0,97.0,63.0,74.0,85.5,74.0,41.5
51.5,63.5,73.5,63.5,97.0,63.0,73.5,85.5,73.5,41.5
51.0,63.0,73.5,63.5,96.0,63.5,73.5,85.5,73.0,42.0
50.0,63.0,73.0,63.0,95.5,63.5,73.0,86.0,73.0,41.0
49.5,63.5,71.5,63.5,95.5,63.5,72.0,85.0,72.0,41.0
49.0,63.0,71.5,63.5,94.0,63.0,71.5,85.5,71.0,41.0
48.0,63.0,70.0,63.0,93.0,63.0,71.0,86.0,70.0,41.0
47.5,63.5,69.5,63.5,92.5,62.5,69.5,85.5,70.0,41.0
47.0,63.0,69.0,63.0,91.5,63.5,69.0,85.5,69.0,41.0
46.0,63.0,68.0,63.0,91.5,63.5,68.0,85.5,68.0,41.0
45.5,63.5,67.5,63.5,90.0,63.5,67.5,85.5,67.0,41.0
44.5,64.0,67.0,63.0,89.0,63.0,67.0,86.0,67.0,41.0
43.0,63.0,66.0,64.0,89.0,63.0,65.5,86.0,66.0,41.0
43.0,63.0,65.0,63.0,88.0,63.0,65.0,86.0,65.0,41.0
42.0,63.0,64.5,63.5,87.0,64.0,64.0,86.0,64.0,41.0
41.0,63.5,63.0,63.0,86.0,63.5,63.0,86.0,64.0,41.0
41.0,63.0,63.0,63.0,85.0,63.0,63.0,86.0,62.0,41.0
39.5,63.5,62.5,63.0,84.5,63.0,62.0,85.0,62.0,41.0
39.0,63.0,62.0,63.0,84.0,63.0,61.5,85.5,62.0,41.0
38.0,63.0,61.0,63.0,83.0,63.0,61.0,85.0,61.0,41.0
37.0,63.0,60.0,63.0,82.5,63.5,60.0,85.5,60.0,41.0
36.5,63.0,59.0,63.5,82.0,63.0,59.0,85.5,59.0,41.0
36.0,63.0,58.5,63.5,81.0,63.0,58.0,85.0,58.0,41.0
35.5,63.0,57.5,63.5,80.0,63.0,57.5,85.5,58.0,41.0
35.0,63.0,57.5,63.0,79.0,63.0,57.5,85.5,57.0,41.0
34.0,63.0,57.0,63.0,79.0,63.0,56.5,85.0,56.5,41.0
34.0,63.0,56.0,63.0,78.5,63.0,56.0,85.0,56.0,41.0
34.0,63.0,56.0,63.0,78.0,63.0,56.0,85.0,56.0,41.0
33.0,63.0,56.0,63.0,78.0,63.0,56.0,85.0,55.5,41.0
33.0,63.0,56.0,63.0,77.5,63.0,55.0,85.0,55.0,41.0
33.0,63.0,55.0,63.0,77.0,63.0,55.0,85.0,55.0,41.0
33.0,63.0,55.0,63.0,77.0,63.0,55.0,85.0,55.0,41.0
33.0,63.0,55.0,63.0,77.0,63.0,55.0,85.0,54.5,41.0
33.0,63.0,55.0,63.0,77.0,63.0,55.0,84.5,54.5,41.0
32.5,62.5,55.0,63.0,77.0,63.0,55.0,85.0,54.0,41.0
32.5,62.5,55.0,63.0,77.0,63.0,55.0,85.0,54.0,41.0
32.5,62.5,55.0,63.0,77.0,63.0,55.0,84.0,55.0,40.0
33.0,63.0,55.0,63.0,77.0,62.5,55.0,84.0,55.0,40.0
33.0,62.5,55.0,63.0,77.0,63.0,55.0,84.0,55.0,40.0
33.0,63.0,55.0,63.0,77.0,63.0,55.0,84.0,54.0,41.0
33.0,62.5,55.5,63.0,77.0,62.5,55.0,84.5,54.0,41.0
33.0,63.0,56.0,63.0,77.5,62.0,55.0,84.0,55.0,40.0
34.0,62.0,56.0,63.0,78.0,62.0,56.0,84.0,56.0,40.0
34.0,63.0,56.5,62.5,78.0,62.0,56.0,84.0,56.0,41.0
34.5,62.5,56.5,62.5,78.0,62.0,56.0,84.0,56.0,41.0
35.0,62.0,57.0,62.0,78.5,62.0,56.5,84.0,56.0,41.0
35.0,62.0,57.5,62.0,80.0,62.0,57.0,84.0,57.0,40.0
36.0,61.5,58.0,62.0,80.0,62.0,58.0,84.0,57.0,40.0
36.5,61.5,59.0,62.0,80.5,61.5,58.5,83.5,58.0,40.0
37.0,62.0,59.0,62.0,81.0,62.0,58.5,83.5,54.5,76.0
38.0,61.5,60.0,62.0,82.0,61.5,60.0,84.0,51.0,112.0
38.5,61.5,60.5,61.5,82.5,61.5,60.5,83.5,60.0,40.0
38.5,61.5,61.0,61.5,83.0,61.0,61.0,83.5,60.0,40.0
40.0,61.0,62.0,62.0,84.0,62.0,61.5,83.5,61.0,40.0
40.5,61.5,63.0,62.0,84.0,62.0,62.5,84.0,62.0,42.0
40.5,61.5,63.0,62.0,85.0,62.0,63.0,84.0,62.0,42.0
42.0,61.5,63.0,62.0,85.0,61.5,63.0,83.5,62.0,41.0
42.0,62.0,64.0,61.5,86.0,61.5,64.0,83.5,63.0,40.0
42.0,62.0,64.5,61.5,87.0,62.0,64.5,83.5,51.0,112.0
43.0,61.5,65.5,61.5,87.5,61.5,65.0,84.0,64.0,40.0
44.0,61.0,66.0,61.5,88.0,61.5,66.0,83.0,66.0,40.0
45.0,61.5,66.5,61.5,89.0,62.0,66.5,83.5,66.0,40.0
45.0,61.0,67.0,62.0,89.0,62.0,67.0,83.5,67.0,40.0
46.0,62.0,67.5,61.5,89.5,61.5,68.0,83.0,67.0,40.0
46.0,62.0,68.0,61.0,91.0,61.0,68.5,83.5,59.5,76.0
47.0,62.0,69.5,61.5,91.5,61.5,68.5,83.5,59.5,76.0
47.5,61.5,69.5,61.5,92.0,61.0,69.5,83.5,68.0,40.0
48.5,61.5,70.0,61.0,92.5,61.5,70.5,83.5,59.5,76.0
49.0,61.0,71.0,62.0,93.5,61.5,70.5,83.5,51.0,112.0
49.5,61.5,71.5,61.5,93.5,61.5,71.5,83.5,70.0,40.0
50.0,61.5,71.5,61.5,93.5,61.5,71.5,83.5,70.0,40.0
50.5,61.5,72.0,61.0,94.5,61.5,72.5,83.5,51.0,112.0
