u0,v0,u1,v1,u2,v2,u3,v3,u4,v4
52.0,59.0,73.5,58.5,96.0,59.0,74.0,81.0,73.0,37.0
51.5,58.5,73.5,58.5,96.5,58.5,73.5,80.5,73.0,37.0
52.0,59.0,73.5,58.5,96.0,58.5,73.5,80.5,73.0,37.0
51.0,59.0,73.0,59.0,96.0,59.0,73.5,80.5,73.0,37.0
51.0,59.0,73.0,59.0,95.5,58.5,73.0,81.0,73.0,37.0
50.0,59.0,73.0,59.0,95.5,58.5,72.0,81.0,72.0,37.0
50.0,59.0,72.0,59.0,95.5,58.5,72.0,81.0,70.0,38.0
50.0,59.0,72.0,59.0,95.0,59.0,72.0,81.0,70.5,37.5
49.0,59.0,72.0,59.0,94.0,59.0,72.0,81.0,71.0,37.0
49.5,59.5,71.0,60.0,94.0,59.0,71.0,82.0,71.0,37.0
48.0,60.0,70.0,60.0,93.0,60.0,70.5,82.0,70.0,37.0
48.0,60.0,70.0,60.0,93.0,60.0,70.0,82.0,69.5,39.0
47.5,60.5,69.5,60.5,92.5,60.5,70.0,83.0,69.0,39.0
47.0,61.0,69.0,61.0,92.0,61.0,69.0,83.0,69.0,39.0
47.0,61.0,69.5,61.5,91.5,61.5,69.0,83.0,69.0,39.0
46.5,62.5,68.0,62.0,91.0,62.0,68.0,84.0,68.0,41.0
46.0,62.5,68.0,62.0,90.0,63.0,68.0,84.5,68.0,40.0
46.0,63.0,67.0,64.0,90.0,63.0,67.5,85.5,68.0,41.0
45.0,63.5,67.0,63.5,89.0,64.0,67.0,86.0,67.0,42.0
45.0,64.0,67.0,64.0,89.0,64.0,67.0,86.0,66.5,42.5
44.0,65.0,66.0,65.0,89.0,65.0,66.0,87.0,66.0,43.0
43.5,65.5,65.5,65.5,88.0,65.0,65.5,87.5,65.0,44.0
43.0,66.0,65.0,66.0,88.5,66.0,65.0,88.0,65.0,44.0
42.5,67.0,64.0,67.0,88.0,67.0,64.5,89.0,51.0,112.0
42.5,67.5,64.5,67.5,87.0,67.5,64.5,89.5,36.0,112.0
42.0,68.0,64.5,68.0,87.0,68.0,64.0,90.0,57.5,80.0
42.0,69.0,64.0,69.0,86.5,69.5,64.0,91.0,64.0,48.0
42.0,69.0,64.0,69.0,86.0,69.0,64.0,91.5,62.0,48.0
41.5,70.5,64.0,69.5,85.5,70.0,64.0,92.0,62.0,49.0
42.0,71.0,63.5,71.0,85.0,71.0,63.0,93.0,62.0,50.0
41.5,71.5,63.0,71.0,85.0,72.0,63.0,93.5,51.0,112.0
41.5,72.0,63.0,71.0,85.0,72.0,63.0,94.0,36.0,112.0
41.5,72.0,63.5,72.0,85.0,72.5,63.0,95.0,36.0,112.0
41.5,73.5,63.0,73.0,85.0,73.0,63.5,95.5,51.0,112.0
41.5,73.5,63.5,73.5,85.0,74.0,63.0,96.0,51.0,112.0
41.5,74.5,63.5,74.5,85.5,74.5,63.0,97.0,63.0,54.0
41.5,75.0,63.0,75.0,85.0,75.0,63.0,97.0,52.0,112.0
41.5,75.5,63.5,75.5,85.5,75.5,63.5,97.5,57.5,83.0
42.0,76.0,63.5,75.5,85.0,76.0,63.0,98.0,51.0,112.0
42.0,77.0,63.5,76.0,85.0,77.0,63.5,98.5,51.0,112.0
42.0,77.0,63.5,76.5,85.0,77.0,63.5,99.0,21.0,112.0
42.0,77.0,64.0,77.0,85.0,77.0,64.0,99.5,58.5,84.0
42.5,77.5,64.0,77.5,86.0,77.5,64.5,99.5,64.0,56.0
42.5,77.5,64.5,77.5,86.0,78.0,64.5,99.5,64.0,56.0
42.5,77.5,64.5,77.5,86.5,77.5,64.0,100.0,52.0,112.0
42.5,77.5,64.5,77.5,86.5,78.0,64.5,100.5,51.0,112.0
42.5,78.0,64.5,77.5,87.0,78.0,65.0,101.0,51.5,112.0
43.0,78.0,65.0,78.0,87.0,78.5,65.0,100.5,36.0,112.0
43.5,78.0,65.5,78.0,87.0,78.5,65.0,101.0,36.0,112.0
44.0,78.0,65.5,78.0,88.0,78.0,65.0,101.0,51.5,112.0
44.0,78.0,66.5,78.0,88.5,78.0,66.0,101.0,36.0,112.0
44.5,78.5,66.5,77.5,89.0,78.0,66.0,101.0,51.0,112.0
44.5,78.5,66.5,77.5,89.0,78.0,66.5,100.5,58.5,84.5
45.0,78.0,66.5,77.5,89.0,78.0,66.5,100.5,66.0,57.0
45.0,78.0,66.5,77.5,89.0,78.0,66.5,100.5,66.0,56.0
45.0,78.0,66.5,77.5,89.0,78.0,67.0,100.0,66.0,56.0
45.5,77.5,67.0,77.0,88.5,77.5,67.0,100.0,36.0,112.0
45.5,77.5,67.0,77.0,88.5,77.5,67.0,100.0,36.0,112.0
45.5,77.0,67.0,77.5,89.0,77.0,67.0,100.0,21.0,112.0
46.0,77.0,67.5,77.0,89.0,77.0,68.0,99.0,51.0,112.0
46.0,76.0,67.5,76.0,89.5,77.0,68.0,99.0,51.5,112.0
46.5,75.5,68.0,76.0,89.5,76.0,68.0,98.0,51.5,112.0
46.5,75.5,68.0,75.0,90.5,75.5,68.0,98.0,67.0,54.0
46.5,75.5,68.5,75.5,90.5,75.5,68.5,97.5,68.0,54.0
46.0,75.0,68.0,75.0,90.0,75.0,68.0,97.0,60.0,83.0
46.0,74.0,68.0,74.0,90.0,74.0,68.0,96.5,68.0,52.5
46.5,73.5,68.5,73.5,90.5,73.5,68.0,96.0,68.0,52.0
46.5,73.5,68.5,73.5,90.5,73.5,68.5,95.5,68.0,52.0
46.0,73.0,68.0,73.0,90.0,73.0,68.0,95.0,51.5,112.0
46.0,72.0,68.0,72.0,90.0,72.0,68.0,94.0,52.0,112.0
46.5,71.5,68.0,71.0,90.0,71.0,68.0,94.0,59.5,81.0
46.0,71.0,68.0,71.0,90.0,71.0,68.0,93.0,51.5,112.0
46.0,70.0,67.5,70.5,89.0,71.0,68.0,93.0,52.0,112.0
45.5,69.5,67.5,69.5,89.5,70.0,67.0,92.0,51.5,112.0
45.0,69.0,67.0,69.0,89.5,69.5,67.5,91.5,66.5,48.0
45.0,69.0,67.0,69.0,89.0,69.0,67.0,91.0,66.5,47.5
45.0,68.0,67.0,68.0,89.0,68.0,66.5,90.0,66.0,46.5
45.0,67.0,66.5,67.5,89.0,68.0,66.0,90.0,58.5,79.0
44.0,67.5,66.5,67.5,89.0,67.0,66.0,90.0,66.0,46.0
43.5,66.5,66.0,67.0,89.0,67.0,66.0,89.0,66.0,45.0
43.0,66.0,66.0,66.0,88.5,66.0,66.0,88.0,66.0,44.0
42.5,66.0,65.5,65.5,88.0,66.0,65.0,88.0,65.0,44.0
43.0,65.5,65.0,65.0,87.5,65.5,65.5,87.5,65.0,44.0
42.5,65.0,64.5,65.0,87.0,65.0,64.5,87.0,64.0,44.0
42.5,64.5,64.5,64.5,87.0,64.0,64.0,87.0,64.0,43.0
42.5,64.5,64.0,64.0,86.5,64.0,64.0,86.0,64.0,43.0
42.0,64.0,64.0,64.0,86.0,63.5,64.0,86.0,63.0,43.0
41.5,63.5,64.0,64.0,86.0,64.0,64.0,86.0,63.0,42.0
41.0,63.0,63.0,63.0,86.0,63.5,63.0,86.0,63.0,42.0
41.0,63.5,63.0,63.0,85.0,63.0,63.0,85.0,62.5,41.5
41.0,63.0,63.0,63.0,85.0,63.0,63.0,85.0,62.0,41.0
41.0,63.0,63.0,63.0,85.0,63.0,63.0,85.0,62.0,41.0
41.0,63.0,63.0,63.0,84.5,62.5,63.0,85.0,62.0,41.5
41.0,63.0,63.0,63.0,84.5,62.5,63.0,85.0,62.0,41.5
