u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5
30.0,44.0,73.0,53.5,57.0,44.0,54.0,86.0,96.0,87.0,9.0,77.0
30.0,44.0,73.0,53.0,57.0,44.0,54.0,86.0,96.0,86.0,9.0,77.0
30.0,43.0,73.0,53.0,56.0,44.0,53.5,85.5,96.0,86.0,8.0,77.0
30.0,43.0,73.0,53.0,56.0,44.0,53.0,85.0,96.0,86.0,8.0,77.0
30.0,43.0,72.5,52.5,56.0,43.0,53.0,85.0,96.0,86.0,8.0,77.0
29.0,43.0,72.0,52.5,56.0,43.0,53.0,85.0,96.0,86.0,7.5,76.5
29.0,43.0,72.0,52.0,56.0,43.0,53.0,85.0,96.0,86.0,7.0,77.0
28.0,43.0,71.5,53.0,55.0,43.0,52.0,85.0,96.0,86.0,6.0,77.0
28.0,43.0,71.5,53.0,55.0,43.0,52.0,85.0,95.0,86.0,6.0,77.0
27.5,43.0,71.0,53.0,55.0,43.0,51.5,85.0,94.0,86.0,5.5,77.0
27.0,43.0,70.0,53.0,54.5,43.0,51.0,85.0,94.0,86.0,5.0,77.0
27.0,43.0,70.0,53.0,54.0,43.5,51.0,85.5,94.0,86.0,4.0,77.0
25.0,43.0,70.0,53.0,53.5,44.0,50.0,85.5,93.5,86.0,3.5,77.5
26.0,44.0,69.0,53.0,53.0,44.0,50.0,86.0,93.0,86.0,3.0,78.0
25.0,44.0,69.0,54.0,53.0,44.0,49.0,86.0,92.0,87.0,2.5,78.0
24.5,44.0,68.0,54.0,52.0,45.0,49.0,87.0,91.5,87.5,1.5,78.5
24.0,45.0,67.5,55.0,52.0,45.5,48.0,87.0,91.0,87.0,1.0,79.0
23.0,46.0,67.0,55.0,51.0,46.0,47.5,88.0,90.5,88.5,1.0,80.0
24.0,46.0,67.0,56.0,51.0,46.0,47.0,88.0,90.0,89.0,1.0,81.0
23.0,47.0,67.0,57.0,51.0,47.0,47.0,89.0,90.0,89.5,1.0,81.5
23.0,48.0,67.0,58.0,50.0,48.0,47.0,90.0,89.5,90.0,0.5,82.0
23.0,48.5,66.0,58.0,50.0,48.0,47.0,90.0,89.0,91.0,0.0,82.0
22.0,49.0,66.0,59.0,50.0,49.0,46.0,91.0,89.0,92.0,0.0,83.5
22.0,50.0,66.0,59.0,50.0,49.5,46.0,92.0,89.0,93.0,0.0,84.5
22.0,51.0,66.0,60.0,50.0,50.5,46.0,93.0,89.0,94.0,0.0,85.5
22.0,52.0,66.0,61.5,50.0,52.0,46.0,94.0,89.0,95.0,0.0,87.0
22.5,53.0,66.0,62.0,50.0,52.0,46.0,95.0,89.0,96.0,0.0,87.5
22.0,54.0,66.0,63.0,50.0,54.0,46.0,96.0,89.0,97.0,0.0,88.5
23.0,55.0,66.0,64.0,50.0,54.0,46.0,97.0,89.0,97.5,0.0,89.5
23.0,56.0,66.5,65.0,50.0,55.5,46.5,98.0,90.0,99.0,0.0,91.0
24.0,57.0,67.0,65.5,50.0,56.0,46.5,99.0,90.0,100.0,0.0,92.0
24.0,58.0,67.5,66.5,51.0,57.0,47.0,100.0,90.5,101.0,0.5,93.0
25.0,58.0,68.0,67.5,51.0,58.0,48.0,101.0,91.0,102.0,1.0,94.0
25.0,59.5,68.5,68.0,52.0,59.0,48.0,102.0,92.0,103.0,1.0,95.0
26.0,60.0,69.0,69.0,52.0,60.0,49.0,103.0,92.5,103.5,2.0,96.0
27.0,61.0,70.0,69.5,53.0,60.0,49.0,103.0,93.0,105.0,3.0,97.0
27.5,61.5,70.5,70.0,54.0,61.5,50.0,104.0,94.0,105.5,4.0,97.0
29.0,62.0,71.0,71.0,54.5,62.0,51.0,105.0,95.0,106.0,5.0,98.0
29.5,63.0,72.5,71.5,56.0,62.0,52.0,106.0,96.0,107.0,6.0,99.0
30.5,63.5,73.0,72.0,56.5,63.0,53.0,106.0,97.0,108.0,7.0,99.0
31.5,64.0,74.5,72.5,57.5,64.0,54.0,107.0,98.0,108.0,9.0,100.0
33.0,64.0,75.0,73.0,58.0,64.0,55.0,107.5,99.5,109.0,10.0,100.0
34.0,64.0,76.0,73.0,60.0,64.0,56.0,108.0,101.0,110.0,11.0,100.0
35.0,65.0,77.0,73.5,60.0,64.0,57.0,108.0,102.0,110.0,12.5,100.0
36.0,65.0,78.5,73.5,62.0,64.5,58.5,108.5,103.0,110.5,14.0,101.0
37.0,65.0,79.0,73.5,63.0,65.0,59.5,108.5,105.0,111.0,15.0,101.0
38.5,65.0,81.0,74.0,64.0,65.0,61.0,108.0,106.0,110.5,16.0,100.5
40.0,65.0,82.0,74.0,65.0,65.0,62.0,108.5,107.0,111.0,18.0,100.0
40.5,64.5,83.0,74.0,66.0,65.0,63.0,108.0,108.0,110.5,19.0,100.0
41.0,64.0,84.0,74.0,66.0,64.0,64.0,108.0,109.5,110.5,20.0,99.5
42.0,64.0,84.5,73.0,68.0,64.0,65.0,107.0,111.0,110.0,22.0,99.0
43.0,64.0,86.0,73.0,68.5,64.0,66.0,107.0,112.0,110.0,22.5,98.5
44.5,63.0,86.5,72.0,70.0,63.0,67.0,106.0,113.0,109.0,23.0,98.0
45.0,62.0,88.0,71.0,70.5,63.0,68.0,106.0,114.0,109.0,25.0,97.0
46.0,62.0,88.5,71.0,71.5,62.0,69.0,105.0,115.5,108.5,26.0,96.0
47.0,61.0,89.5,70.0,72.0,62.0,70.0,104.0,116.0,107.5,27.0,95.0
48.0,60.0,90.0,69.5,73.0,61.0,70.0,103.0,117.5,106.5,27.0,94.0
48.5,59.5,91.0,69.0,74.0,60.0,71.0,102.0,118.0,106.0,28.0,93.0
49.0,59.0,91.0,68.0,74.5,60.0,72.0,101.0,119.0,105.0,29.0,92.5
49.5,58.0,92.0,67.0,75.0,59.0,72.5,100.5,120.0,104.0,29.5,91.5
50.0,57.0,92.5,66.5,75.0,58.0,73.0,100.0,119.5,103.0,30.0,91.0
50.0,56.0,93.0,65.5,76.0,57.0,73.0,99.0,120.0,102.0,30.5,90.5
50.5,55.0,93.0,64.0,77.0,56.0,73.5,98.0,121.0,101.0,31.0,89.0
50.5,54.0,93.5,63.5,77.0,55.0,74.0,97.0,121.0,100.0,31.0,88.0
51.0,54.0,94.0,62.0,77.0,54.0,74.0,96.0,121.0,99.0,31.0,87.0
51.0,53.0,94.0,61.5,77.0,53.0,74.0,95.0,122.0,98.0,31.5,86.0
